a_id;x_accel;y_accel;z_accel;timestamp
1;532;552;606;1466935998.1194966
1;834;610;456;1466935998.139701
1;920;622;312;1466935998.160062
1;920;702;346;1466935998.180438
1;621;764;650;1466935998.2008932
1;104;206;778;1466935998.2214336
1;104;318;514;1466935998.2418687
1;364;538;700;1466935998.2622483
1;624;540;590;1466935998.2826807
1;850;564;362;1466935998.303112
1;920;622;238;1466935998.3234758
1;917;772;410;1466935998.344276
1;131;510;820;1466935998.3644443
1;104;106;600;1466935998.3845022
1;210;534;618;1466935998.4048524
1;514;530;620;1466935998.425234
1;742;556;446;1466935998.44548
1;904;542;324;1466935998.4659383
1;920;656;314;1466935998.4861968
1;701;754;618;1466935998.5063338
1;104;268;794;1466935998.5266569
1;104;204;512;1466935998.5472076
1;306;514;640;1466935998.5678504
1;564;520;612;1466935998.5883126
1;800;568;448;1466935998.6086779
1;920;612;340;1466935998.629288
1;908;780;464;1466935998.6494453
1;266;644;760;1466935998.6695032
1;104;104;578;1466935998.6896577
1;104;456;498;1466935998.710008
1;410;534;636;1466935998.7304173
1;659;550;544;1466935998.750867
1;892;578;388;1466935998.7712946
1;920;664;308;1466935998.7916462
1;822;804;562;1466935998.8120124
1;121;516;842;1466935998.8327165
1;104;104;534;1466935998.8530288
1;183;506;560;1466935998.873815
1;507;536;600;1466935998.8942204
1;774;574;442;1466935998.914501
1;919;572;344;1466935998.9345496
1;920;690;384;1466935998.9545984
1;546;724;660;1466935998.9749293
1;104;134;716;1466935998.995318
1;104;346;446;1466935999.01568
1;391;556;626;1466935999.0361214
1;641;544;616;1466935999.0574176
1;838;578;420;1466935999.0791101
1;920;650;304;1466935999.1037204
1;818;744;508;1466935999.1241145
1;105;332;796;1466935999.148198
1;104;180;556;1466935999.1690826
1;386;528;626;1466935999.1936681
1;665;554;590;1466935999.2141645
1;919;598;384;1466935999.235214
1;920;680;304;1466935999.258194
1;680;784;592;1466935999.2787948
1;275;622;768;1466935999.2989123
1;104;186;554;1466935999.3192446
1;290;476;618;1466935999.3399255
1;624;524;590;1466935999.360354
1;872;566;420;1466935999.3807576
1;920;654;286;1466935999.4012065
1;821;780;518;1466935999.4217963
1;137;518;856;1466935999.4423919
1;104;104;482;1466935999.463013
1;180;526;554;1466935999.4835343
1;487;544;622;1466935999.5039742
1;648;552;576;1466935999.5243201
1;920;590;336;1466935999.5444276
1;920;674;350;1466935999.564537
1;480;672;632;1466935999.5848424
1;104;142;658;1466935999.6051743
1;104;360;530;1466935999.6255705
1;420;518;626;1466935999.6461103
1;611;524;600;1466935999.6665702
1;848;640;430;1466935999.6871006
1;920;684;294;1466935999.7075727
1;888;848;478;1466935999.727965
1;179;698;794;1466935999.748333
1;104;104;582;1466935999.7691467
1;109;446;482;1466935999.7894323
1;500;544;598;1466935999.8095386
1;749;584;490;1466935999.8295786
1;920;544;344;1466935999.8497884
1;893;646;412;1466935999.8701231
